fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-01-22,UA,UA_CODESHARE,UA,3847,ZW,N460AW,3847,11066,CMH,"Columbus, OH",13930,ORD,"Chicago, IL",1045,1037,-8,10,1047,1035,7,1109,1042,-27,0,,0,N,84,65,48,1,296,,,,,,,,,
2018-11-01,AS,AS_CODESHARE,AS,2444,QX,N622QX,2444,14747,SEA,"Seattle, WA",12003,GTF,"Great Falls, MT",1010,1019,9,19,1038,1246,5,1255,1251,-4,0,,0,N,105,92,68,1,512,,,,,,,,,
2019-06-26,DL,DL_CODESHARE,DL,5407,9E,N301PQ,5407,10397,ATL,"Atlanta, GA",10431,AVL,"Asheville, NC",2220,2218,-2,28,2246,2322,6,2326,2328,2,0,,0,N,66,70,36,1,164,,,,,,,,,
2019-07-05,AA,AA_CODESHARE,AA,3643,MQ,N619AE,3643,13930,ORD,"Chicago, IL",15048,SUX,"Sioux City, IA",1015,1002,-13,30,1032,1140,7,1157,1147,-10,0,,0,N,102,105,68,1,436,,,,,,,,,
2018-10-19,AA,AA,AA,1500,AA,N889NN,1500,12478,JFK,"New York, NY",11057,CLT,"Charlotte, NC",500,457,-3,15,512,637,5,656,642,-14,0,,0,N,116,105,85,1,541,,,,,,,,,
2018-10-11,WN,WN,WN,2359,WN,N567WN,2359,10693,BNA,"Nashville, TN",13204,MCO,"Orlando, FL",1740,1736,-4,9,1745,2010,15,2025,2025,0,0,,0,N,105,109,85,1,616,,,,,,,,,
2018-05-23,AA,AA_CODESHARE,AA,3442,MQ,N538EG,3442,12945,LEX,"Lexington, KY",13930,ORD,"Chicago, IL",835,825,-10,25,850,848,12,914,900,-14,0,,0,N,99,95,58,1,323,,,,,,,,,
2018-09-26,F9,F9,F9,1620,F9,N713FR,1620,13204,MCO,"Orlando, FL",11193,CVG,"Cincinnati, OH",1956,1945,-11,16,2001,2142,9,2208,2151,-17,0,,0,N,132,126,101,1,757,,,,,,,,,
2018-06-30,DL,DL_CODESHARE,DL,4132,OO,N824SK,4132,13487,MSP,"Minneapolis, MN",11986,GRR,"Grand Rapids, MI",1005,1005,0,17,1022,1223,6,1234,1229,-5,0,,0,N,89,84,61,1,408,,,,,,,,,
2019-12-11,DL,DL,DL,2919,DL,N966AT,2919,13487,MSP,"Minneapolis, MN",15016,STL,"St. Louis, MO",650,647,-3,36,723,826,3,831,829,-2,0,,0,N,101,102,63,1,448,,,,,,,,,
2019-08-04,UA,UA,UA,1108,UA,N64844,1108,11292,DEN,"Denver, CO",14679,SAN,"San Diego, CA",921,919,-2,11,930,1022,2,1038,1024,-14,0,,0,N,137,125,112,1,853,,,,,,,,,
2019-10-12,UA,UA_CODESHARE,UA,4454,EV,N11548,4454,12217,HSV,"Huntsville, AL",12266,IAH,"Houston, TX",1300,1252,-8,15,1307,1442,9,1502,1451,-11,0,,0,N,122,119,95,1,595,,,,,,,,,
2018-07-24,WN,WN,WN,6901,WN,N201LV,6901,10821,BWI,"Baltimore, MD",11697,FLL,"Fort Lauderdale, FL",700,658,-2,12,710,932,8,930,940,10,0,,0,N,150,162,142,1,925,,,,,,,,,
2019-02-10,DL,DL,DL,1417,DL,N3764D,1417,14831,SJC,"San Jose, CA",12478,JFK,"New York, NY",2250,106,136,20,126,857,6,720,903,103,0,,0,N,330,297,271,1,2569,45,58,0,0,0,,,,
2019-09-24,WN,WN,WN,1367,WN,N7852A,1367,13891,ONT,"Ontario, CA",14107,PHX,"Phoenix, AZ",2135,2131,-4,5,2136,2231,3,2245,2234,-11,0,,0,N,70,63,55,1,325,,,,,,,,,
2018-05-05,G4,G4,G4,1800,G4,313NV,1800,10666,BLI,"Bellingham, WA",14262,PSP,"Palm Springs, CA",800,749,-11,12,801,1029,6,1043,1035,-8,0,,0,N,163,166,148,1,1078,,,,,,,,,
2019-12-28,DL,DL_CODESHARE,DL,3932,OO,N295SY,3932,14747,SEA,"Seattle, WA",11603,EUG,"Eugene, OR",930,944,14,11,955,1039,2,1045,1041,-4,0,,0,N,75,57,44,1,234,,,,,,,,,
2019-09-03,WN,WN,WN,2108,WN,N733SA,2108,14107,PHX,"Phoenix, AZ",10800,BUR,"Burbank, CA",945,939,-6,6,945,1054,3,1115,1057,-18,0,,0,N,90,78,69,1,369,,,,,,,,,
2018-04-19,UA,UA,UA,216,UA,N490UA,216,10423,AUS,"Austin, TX",12266,IAH,"Houston, TX",1424,1418,-6,22,1440,1512,4,1527,1516,-11,0,,0,N,63,58,32,1,140,,,,,,,,,
2019-02-05,NK,NK,NK,492,NK,N628NK,492,11697,FLL,"Fort Lauderdale, FL",11066,CMH,"Columbus, OH",2045,2041,-4,11,2052,2314,4,2321,2318,-3,0,,0,N,156,157,142,1,973,,,,,,,,,
2018-09-18,AA,AA,AA,449,AA,N749US,449,12892,LAX,"Los Angeles, CA",12339,IND,"Indianapolis, IN",2250,2243,-7,18,2301,537,5,548,542,-6,0,,0,N,238,239,216,1,1814,,,,,,,,,
2019-01-27,WN,WN,WN,4709,WN,N230WN,4709,10713,BOI,"Boise, ID",12889,LAS,"Las Vegas, NV",2005,1959,-6,12,2011,2019,4,2045,2023,-22,0,,0,N,100,84,68,1,519,,,,,,,,,
2019-03-08,UA,UA_CODESHARE,UA,5708,OO,N987SW,5708,14771,SFO,"San Francisco, CA",10713,BOI,"Boise, ID",1305,1326,21,24,1350,1606,5,1555,1611,16,0,,0,N,110,105,76,1,522,0,0,0,0,16,,,,
2018-01-24,B6,B6,B6,1023,B6,N339JB,1023,11278,DCA,"Washington, DC",13204,MCO,"Orlando, FL",1859,1840,-19,14,1854,2100,13,2123,2113,-10,0,,0,N,144,153,126,1,759,,,,,,,,,
2019-09-29,DL,DL_CODESHARE,DL,3865,OO,N868CA,3865,11337,DLH,"Duluth, MN",13487,MSP,"Minneapolis, MN",1100,1053,-7,12,1105,1136,12,1202,1148,-14,0,,0,N,62,55,31,1,144,,,,,,,,,
2018-05-30,UA,UA_CODESHARE,UA,3463,YX,N726YX,3463,14492,RDU,"Raleigh/Durham, NC",11618,EWR,"Newark, NJ",1611,1605,-6,22,1627,1737,13,1800,1750,-10,0,,0,N,109,105,70,1,416,,,,,,,,,
2019-12-19,DL,DL_CODESHARE,DL,3718,OO,N283SY,3718,13851,OKC,"Oklahoma City, OK",14869,SLC,"Salt Lake City, UT",1320,1316,-4,10,1326,1434,5,1502,1439,-23,0,,0,N,162,143,128,1,866,,,,,,,,,
2019-11-27,AA,AA,AA,1386,AA,N867NN,1386,14107,PHX,"Phoenix, AZ",14869,SLC,"Salt Lake City, UT",1815,1825,10,16,1841,1941,7,1955,1948,-7,0,,0,N,100,83,60,1,507,,,,,,,,,
2018-11-08,UA,UA,UA,1234,UA,N77431,1234,12266,IAH,"Houston, TX",10423,AUS,"Austin, TX",2143,2142,-1,15,2157,2230,4,2236,2234,-2,0,,0,N,53,52,33,1,140,,,,,,,,,
